FarmerID,Gender,Age,HaveHandPhone,isTrained,FarmSize (Hectare),FarmProduction (Kg),SalesQuota (Kg),Sales Last Year (Kg),Number of Farm,Number Of Trees,FarmerStatus
720402265101,Male,48,Yes,1,"1,5",930,1235,,1,1150,Good
720402270101,Male,49,Yes,1,2,1300,1755,,1,1700,Good
720402289101,Male,40,Yes,1,2,1240,1625,,1,1525,Good
720402290101,Male,54,Yes,1,2,1240,1560,,1,1530,Good
720402291101,Male,40,Yes,1,2,1200,1625,,1,1550,Good
720402292101,Male,45,Yes,1,2,1240,1690,,1,1570,Good
720402293101,Male,53,Yes,1,2,960,1300,,1,1600,Good
720402296101,Male,64,No,1,2,1240,1755,,1,1400,Good
720402297101,Male,48,Yes,1,2,1080,1430,,1,1350,Good
720402303101,Male,44,Yes,1,2,1160,1560,,1,1430,Good
720402304101,Male,63,Yes,1,2,1240,1690,,1,1550,Good
720402305101,Male,51,Yes,1,2,1220,1742,,1,1560,Good
720402308101,Male,44,Yes,1,2,1240,1690,,1,1550,Good
720402309101,Male,38,Yes,1,2,1240,1690,,1,1450,Good
720402315101,Male,45,Yes,1,3,1220,1664,,1,2400,Good
720402336101,Male,47,No,1,2,1030,"1410,5",,1,1600,Good
720402342101,Male,49,Yes,1,2,1100,1560,,1,1350,Good
720402349101,Male,53,Yes,1,"1,1",675,910,,1,900,Bad
720402361101,Male,63,Yes,1,"1,2",760,1027,,1,950,Good
720402403101,Male,52,Yes,1,"1,5",840,1105,,1,1200,Good
720402413101,Male,38,Yes,1,"1,2",840,1105,,1,900,Good
720402417101,Male,60,Yes,1,"1,5",890,1170,,1,1100,Good
720402423101,Male,54,Yes,1,"1,5",940,1235,,1,1200,Good
720402437101,Male,57,Yes,1,"1,5",890,1170,,1,1200,Good
720402438101,Male,40,Yes,1,"1,5",890,1170,,1,1100,Good
720402442101,Male,60,Yes,1,2,1070,1430,,1,1550,Good
720402456101,Male,48,Yes,1,2,1030,1430,,1,1280,Good
720402458101,Male,61,Yes,1,"1,5",890,1196,,1,1100,Good
720402465101,Male,30,Yes,1,2,1185,1560,,1,1700,Good
720402475101,Male,53,Yes,1,"1,5",980,1300,,1,1300,Good
720402483101,Male,39,Yes,1,2,1185,1625,,1,1740,Good
720402513101,Male,64,Yes,1,2,1160,1521,,1,1600,Good
720402534101,Male,37,Yes,1,"1,2",870,1144,,1,900,Good
720402544101,Male,78,Yes,1,"1,5",972,1287,,1,1000,Good
720402584101,Male,58,Yes,1,"1,6",940,1235,,1,1200,Good
720402588101,Male,38,Yes,1,"1,3",950,1248,,1,1200,Good
720402598101,Male,42,Yes,1,"1,8",1040,1365,,1,1500,Good
720402603101,Male,53,Yes,1,"1,6",1040,1365,,1,1400,Good
720402608101,Male,50,Yes,1,"1,2",840,1105,,1,900,Good
720402635101,Male,35,Yes,1,"1,2",750,"1020,5","38,76",2,500,Good
720402640101,Male,68,Yes,1,"1,5",1070,1430,,1,1000,Good
720402641101,Male,53,Yes,1,"2,7",1970,"2632,5",,2,2100,Good
720402649101,Male,51,Yes,1,2,1420,1950,,1,1600,Good
720402658101,Male,37,No,1,"1,4",970,1300,,2,1100,Good
720402720101,Female,44,Yes,1,2,1220,1820,,1,1680,Good
720402730101,Male,36,Yes,1,"1,5",1050,1365,,1,1200,Good
720402747101,Male,54,Yes,1,2,1180,1560,,1,1500,Good
720402817101,Female,57,No,1,"1,3",635,975,,1,1195,Bad
720402824101,Male,46,Yes,1,"1,2",675,910,,1,825,Bad
720402825101,Male,51,Yes,1,"1,3",760,975,,1,800,Bad
720402827101,Male,67,Yes,1,"1,25",725,975,,1,765,Bad
720402828101,Male,29,No,1,"2,5",1305,1950,,1,1480,Good
720402832101,Male,46,Yes,1,"1,5",715,975,,1,885,Bad
720402849101,Male,57,Yes,1,"1,2",765,1040,,1,865,Good
720402854101,Male,47,Yes,1,"1,2",790,1040,,1,984,Good
720402857101,Male,46,Yes,1,"1,5",1090,1430,,1,1075,Good
720402858101,Male,39,Yes,1,"1,2",780,1040,,1,897,Good
720402868101,Male,71,Yes,1,"1,15",775,1040,,1,900,Good
720402871101,Male,50,Yes,1,"1,06",780,"1020,5",,1,800,Good
720402873101,Male,39,Yes,1,"1,07",755,988,,1,850,Bad
720402875101,Male,74,Yes,1,"1,03",735,975,,1,800,Bad
720402883101,Male,58,Yes,1,2,1355,1885,,1,1600,Good
720402884101,Male,38,Yes,1,"1,5",1070,1430,,1,1200,Good
720402885101,Male,47,Yes,1,"1,12",775,1040,,1,850,Good
720403387101,Male,39,Yes,1,2,1362,1781,,1,1600,Good
720403400101,Male,44,Yes,1,"1,5",780,1040,,1,1200,Good
720403425101,Male,61,Yes,1,"1,5",600,650,"19,13",1,1200,Bad
720403457101,Male,53,Yes,1,3,1560,2080,,1,1255,Good
720403464101,Male,52,Yes,1,2,790,1040,,1,1800,Good
720403466101,Male,38,Yes,1,"1,5",310,455,,1,1400,Bad
720403470101,Male,39,Yes,1,"1,5",860,1131,,1,1250,Good
720403473101,Male,61,Yes,1,"1,5",450,585,,1,800,Bad
720403477101,Male,67,Yes,1,2,820,"1072,5",,1,1400,Good
720403479101,Male,22,Yes,1,2,1280,1690,,1,1800,Good
720403505101,Male,53,Yes,1,2,725,949,,1,750,Bad
720403510101,Male,45,Yes,1,"1,5",1390,"1982,5",,1,1200,Good
720403514101,Male,63,Yes,1,"1,5",670,884,,1,1200,Bad
720403518101,Male,44,Yes,1,2,1380,1820,,1,1600,Good
720403520101,Male,74,Yes,1,2,1450,1560,,1,1600,Good
720403524101,Male,35,Yes,1,"1,5",710,936,,1,1200,Bad
720403525101,Male,33,Yes,1,2,620,819,,1,1600,Bad
720403533101,Male,48,Yes,1,2,980,1300,,1,1200,Good
720403536101,Male,42,Yes,1,2,1200,1625,,1,800,Good
720403543101,Male,36,Yes,1,2,620,"851,5",,1,1200,Bad
720403560101,Male,37,Yes,1,2,570,845,,1,1200,Bad
720403591101,Male,52,Yes,1,"1,5",585,845,,1,1000,Bad
